year,team,total_wins
2022,"United States",7
2022,Italy,6
2022,Norway,6
2022,Sweden,6
2022,"China PR",4
2022,Japan,4
2022,Denmark,4
2023,England,12
2023,Japan,11
2023,France,10
2023,Denmark,8
2023,Sweden,7
2023,Italy,5
2023,Germany,5
2023,"China PR",5
2023,"United States",4
2023,Norway,3
2024,France,1
2024,Sweden,1
2024,Norway,1
